name,provider,campus,lon,lat,device_ids
西溪北园菜鸟驿站北侧,dlmm,4,120.143947,30.285467,"[32101149,32101207]"
西溪南园网球场南侧,dlmm,4,120.147572,30.281642,"[32101228,32101210]"
西溪南园西三教学楼,dlmm,4,120.145922,30.279263,"[32100288,32101769]"
西溪南园建筑设计院东侧,dlmm,4,120.148911,30.278240,"[66103916,66103914]"
之江11舍南侧,dlmm,5,120.129883,30.197497,[66102484]
华家池4舍南侧,dlmm,3,120.205792,30.274509,"[98300513,98300515,98300516]"
